"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.359827000E-3,7.499999832E-3,-1.799999923E-2,6.830000132E-2,7.102915000E-2
1.728639000E-2,2.149999887E-2,4.429999739E-2,8.399999887E-2,9.736908919E-2
2.721295200E-2,4.869999737E-2,8.810000122E-2,3.389999866E-1,3.536301612E-1
3.714107700E-2,1.362999976E-1,1.318999976E-1,5.446999669E-1,5.767784260E-1
4.706607700E-2,2.515999973E-1,1.352999955E-1,6.927999854E-1,7.493867274E-1
5.699264000E-2,3.819999993E-1,1.653999984E-1,7.847999930E-1,8.883648958E-1
6.691920200E-2,4.019999802E-1,1.733999997E-1,7.806999683E-1,8.950776416E-1
7.684420200E-2,2.195999920E-1,1.067999974E-1,4.574999809E-1,5.185910031E-1
8.677076500E-2,4.099999741E-2,8.700000122E-3,1.699999906E-2,4.522930198E-2
9.669889000E-2,-2.290999889E-1,-5.979999900E-2,-2.680999935E-1,3.576876449E-1
1.066238900E-1,-3.197999895E-1,-1.195999980E-1,-4.863999784E-1,5.942736169E-1
1.165504520E-1,-2.338999957E-1,-1.084999964E-1,-6.269999743E-1,6.779457389E-1
1.264770150E-1,-1.446999907E-1,-1.209999993E-2,-6.164999604E-1,6.333693224E-1
1.364020150E-1,-3.631999791E-1,-2.255999893E-1,-4.781999886E-1,6.414708170E-1
1.463285770E-1,-8.053999543E-1,4.069999978E-2,-6.419999897E-2,8.089791198E-1
1.562551400E-1,-1.343999952E-1,2.824999988E-1,-3.500000015E-2,3.147929606E-1
1.661817020E-1,6.182999611E-1,3.628999889E-1,7.209999561E-1,1.016775384E0
1.761395150E-1,7.762999535E-1,1.350999922E-1,4.206999838E-1,8.932424654E-1
1.860348270E-1,6.751999855E-1,-2.799999900E-2,-1.750000007E-2,6.760068567E-1
1.959613900E-1,6.538999677E-1,-3.393999934E-1,-3.127000034E-1,8.003491834E-1
2.058863900E-1,5.015000105E-1,-4.239999950E-1,-1.677999943E-1,6.778164164E-1
2.158145150E-1,2.082999945E-1,-3.021999896E-1,1.039999947E-1,3.814835780E-1
2.257410770E-1,1.365000010E-1,-2.595999837E-1,9.269999713E-2,3.075998883E-1
2.356676400E-1,1.141999960E-1,-1.894000024E-1,6.419999897E-2,2.302946805E-1
2.455942020E-1,9.579999745E-2,-5.219999701E-2,1.061000004E-1,1.521830782E-1
2.555192020E-1,9.879999608E-2,4.759999737E-2,1.145999953E-1,1.586201686E-1
2.654457650E-1,8.559999615E-2,3.830000013E-2,9.510000050E-2,1.335599470E-1
2.753707650E-1,6.109999865E-2,1.319999993E-2,4.039999843E-2,7.442855438E-2
2.852988900E-1,8.989999443E-2,5.899999756E-3,6.799999624E-3,9.034964854E-2
2.952238900E-1,1.338000000E-1,1.750000007E-2,3.299999982E-2,1.389161257E-1
3.051520150E-1,1.087999940E-1,9.470000118E-2,5.069999769E-2,1.528921799E-1
3.150770150E-1,1.105000004E-1,5.529999733E-2,4.869999737E-2,1.328157729E-1
3.250035770E-1,1.141999960E-1,6.399999559E-2,6.659999490E-2,1.468781735E-1
3.349301400E-1,1.520999968E-1,1.086999997E-1,1.440999955E-1,2.360400552E-1
3.448551400E-1,1.316999942E-1,2.021999955E-1,2.509999871E-1,3.481820216E-1
3.547832650E-1,1.211999953E-1,2.739000022E-1,2.902999818E-1,4.171147678E-1
3.647082650E-1,2.294999957E-1,3.461000025E-1,3.585999906E-1,5.486796999E-1
3.746363900E-1,1.990000010E-1,2.798999846E-1,2.902999818E-1,4.496877597E-1
3.845613900E-1,7.229999453E-2,2.219000012E-1,1.342999935E-1,2.692645316E-1
3.944879520E-1,-6.269999593E-2,1.704999954E-1,-3.159999847E-2,1.843911544E-1
4.044145150E-1,-8.479999751E-2,1.173999980E-1,-1.498000026E-1,2.083598807E-1
4.143410770E-1,-1.022999957E-1,4.549999908E-2,-1.916999966E-1,2.220009634E-1
4.242660770E-1,-1.275999993E-1,3.480000049E-2,-1.562999934E-1,2.047498176E-1
4.341942020E-1,-1.162999943E-1,-2.600000007E-3,-5.289999768E-2,1.277922471E-1
4.441192020E-1,-6.430000067E-2,-2.840000018E-2,3.999999899E-4,7.029374152E-2
4.540457650E-1,1.499999966E-2,-1.110999957E-1,6.309999526E-2,1.286460976E-1
4.639723270E-1,6.399999838E-3,-1.551999897E-1,1.370999962E-1,2.071820594E-1
4.738988900E-1,-1.289999932E-1,-9.250000119E-2,1.429999918E-1,2.136498212E-1
4.838238900E-1,-1.393000036E-1,-1.005999967E-1,7.149999589E-2,1.861104505E-1
4.937504520E-1,-2.113999873E-1,-6.149999797E-2,1.099999994E-2,2.204386636E-1
5.036785770E-1,-3.249000013E-1,-7.310000062E-2,-2.052999884E-1,3.912182334E-1
5.136035770E-1,-4.879999757E-1,-5.509999767E-2,-4.696999788E-1,6.795572501E-1
5.235301400E-1,-4.774999917E-1,-6.319999695E-2,-6.960999966E-1,8.464961234E-1
5.334567020E-1,-2.723000050E-1,-9.629999846E-2,-7.281000018E-1,7.832947051E-1
5.433832650E-1,-2.939999849E-2,-5.449999869E-2,-5.565999746E-1,5.600340539E-1
5.533082650E-1,1.639999896E-1,-2.789999917E-2,-2.888999879E-1,3.333730787E-1
5.632348270E-1,2.305999994E-1,-1.899999939E-2,-5.150000006E-2,2.370434764E-1
5.731613900E-1,1.715999991E-1,3.049999848E-2,2.819999866E-2,1.765560804E-1
5.830879520E-1,1.238999963E-1,9.640000015E-2,1.092999950E-1,1.912868475E-1
5.930145150E-1,8.519999683E-2,1.203999966E-1,1.915999949E-1,2.417969328E-1
6.029410770E-1,1.130999997E-1,1.160999984E-1,2.540999949E-1,3.013928117E-1
6.128660770E-1,1.100999936E-1,7.279999554E-2,1.792999953E-1,2.226439675E-1
6.227926400E-1,3.940000013E-2,4.519999772E-2,2.769999951E-2,6.605066069E-2
6.327192020E-1,-1.909999922E-2,5.709999800E-2,-6.539999694E-2,8.889532800E-2
6.426457650E-1,2.600000007E-3,9.070000052E-2,-1.105000004E-1,1.429807686E-1
6.525723270E-1,8.379999548E-2,1.323999912E-1,-5.689999834E-2,1.667027496E-1
6.624988900E-1,1.749999970E-1,1.673000008E-1,3.449999914E-2,2.445496660E-1
6.724238900E-1,2.175000012E-1,2.324999869E-1,1.454000026E-1,3.500052216E-1
6.823504520E-1,2.013999969E-1,2.196999937E-1,1.776999980E-1,3.469976013E-1
6.922770150E-1,1.863999963E-1,2.256999910E-1,1.806999892E-1,3.440028062E-1
7.022035770E-1,1.825999916E-1,1.429999918E-1,6.619999558E-2,2.411932710E-1
7.121301400E-1,2.101999968E-1,1.474999934E-1,-1.166999936E-1,2.820623606E-1
7.220567020E-1,1.319999993E-1,1.228999943E-1,-2.900999784E-1,3.415939196E-1
7.319832650E-1,4.609999806E-2,1.194999963E-1,-3.466999829E-1,3.696029452E-1
7.419098270E-1,7.989999652E-2,4.179999977E-2,-3.068999946E-1,3.198731876E-1
7.518348270E-1,1.002999991E-1,-1.850000024E-2,-1.872999966E-1,2.132689114E-1
7.617613900E-1,2.520000003E-2,-1.022999957E-1,6.689999998E-2,1.248036022E-1
7.716879520E-1,-1.899999939E-2,-1.298999935E-1,6.729999930E-2,1.475272795E-1
7.816145150E-1,-1.982000023E-1,-1.096000001E-1,-2.019999921E-2,2.273839064E-1
7.915410770E-1,-3.378999829E-1,-1.116999984E-1,1.186999977E-1,3.751572704E-1
8.014676400E-1,-2.506999969E-1,-1.422999948E-1,2.280000001E-1,3.675374499E-1
8.113926400E-1,-1.172999963E-1,-1.448999941E-1,2.203999907E-1,2.886718783E-1
